#######################
##
## License goes here
##
#######################
a	A
batterie	bAt@Ri:
bätz	b{ts
batz	bAts
bau	b{:U
bauaarbechterinne	bAUa:Rb@s\t@Rin@
bauch	b{:UX
baue	bAU@
bauen	bAU@n
bauer	bAU6
bauerenhaff	bAU@R@nhAf
baufälleg	b{:Uf{l@s\
baukaste	bAUkAst@
baukasten	bAUkAst@n
baupse	bAUps@
baupsen	bAUps@n
bauscheg	b{:US@s\
bausse	b{:Us@
baussen	b{:Us@n
beaaften	b@a:ft@n
beaarbecht	b@a:Rb@s\t
beaarbechte	b@a:Rb@s\t@
beafe	b@a:f@
beafloss	b@Aflos
beamt	bi:mt
beamte	b@Amt@
beamtebeleidegung	b@Amt@b@lAId@z\uN
beamten	b@Amt@n
beandrock	b@AndRok
beandrocke	b@AndRok@
beängschtegend	b@{NSt@z\@nt
beäntwer	b@{ntv6
beäntwere	b@{ntv@R@
beauté	bo:te:
becher	b{s\6
béchs	beks
béchse	beks@
béchsefleesch	beks@fle:S
béchsen	beks@n
béchsenöffner	beks@n9fn6
bécke	bek@
bécken	bek@n
bedauere	b@dAU@R@
bedaueren	b@dAU@R@n
bedauerlech	b@dAU6l@s\
bedeite	b@dAIt@
bedeiten	b@dAIt@n
bedeitend	b@dAIt@nt
bedierfnesser	b@di6fn@s6
bedrécke	b@dRek@
bedrécken	b@dRek@n
bedreckse	b@dR{ks@
bedrecksen	b@dR{ks@n
bedupse	b@dups@
bedupsen	b@dups@n
bee	be:
beeme	be:m@
beemen	be:m@n
been	be:n
bees	be:s
beesen	be:s@n
befriddegend	b@fRid@z\@nt
begaabt	b@ga:pt
begeeschtert	b@ge:St6t
begeeschterung	b@ge:St@RuN
begéine	b@g3In@
begéinen	b@g3In@n
begleede	b@gle:d@
begleeden	b@gle:d@n
begradegen	b@gRa:d@z\@n
begräife	b@gR{:If@
begräifen	b@gR{:If@n
begréisse	b@gR3Is@
begréissen	b@gR3Is@n
begréissung	b@gR3IsuN
begriefnes	b@gRi@fn@s
begruewe	b@gRu@v@
begruewen	b@gRu@v@n
behaapte	b@ha:pt@
behaapten	b@ha:pt@n
behandele	b@hAnd@l@
behandelen	b@hAnd@l@n
behenn	b@h{n
behuele	b@hu@l@
behuelen	b@hu@l@n
bei	bAI
béie	b3I@
beiekinniginne	bAI@kinigin@
béien	b3I@n
beienee	bAI@ne:
beieneen	bAI@ne:n
beienziichterinne	bAI@ntsi:s\t@Rin@
béier	b3I6
beiestack	bAI@StAk
beifall	bAIfAl
beige	bE:S
beil	bAIl
beim	bAIm
béis	b3Is
beispill	bAISpil
bejoe	b@jo:@
bejoen	b@jo:@n
bekannt	b@kAnt
bekannte	b@kAnt@
bekannten	b@kAnt@n
bekanntschaft	b@kAntSAft
bekäppe	b@k{p@
bekäppen	b@k{p@n
bekéierunge	b@k3I@RuN@
bekloe	b@klo:@
bekloen	b@klo:@n
bekucke	b@kuk@
bekucken	b@kuk@n
belagere	b@la:g@R@
belageren	b@la:g@R@n
belästege	b@l{st@z\@
belästegen	b@l{st@z\@n
beléie	b@l3I@
beléien	b@l3I@n
belibeg	b@li:b@s\
beliichte	b@li:s\t@
beliichten	b@li:s\t@n
